Rank,Team,G,Plays,TotalYds,YdsPerPlay,OffTDs,YPG
1,Oklahoma ,14,928,7984,8.6,85,570.3
2,Ohio St. ,14,1131,7498,6.63,74,535.6
3,Clemson ,15,1076,7908,7.35,86,527.2
4,Memphis ,14,1028,7324,7.12,76,523.1
5,UCF ,13,986,6795,6.89,72,522.7
6,Alabama ,15,1009,7830,7.76,85,522
7,Houston ,13,1010,6663,6.6,74,512.5
8,West Virginia ,12,870,6147,7.07,60,512.3
9,Ole Miss ,12,860,6126,7.12,45,510.5
10,Oklahoma St. ,13,1011,6502,6.43,63,500.2
11,Utah St. ,13,945,6466,6.84,69,497.4
12,Texas Tech ,12,972,5822,5.99,54,485.2
13,Missouri ,13,1004,6263,6.24,55,481.8
14,Fla. Atlantic ,12,930,5746,6.18,49,478.8
15,Texas A&M ,13,980,6131,6.26,53,471.6
16,Ohio ,13,867,6068,7,65,466.8
17,Arkansas St. ,13,980,6061,6.18,46,466.2
18,Georgia ,14,923,6508,7.05,64,464.9
19,Syracuse ,13,1063,6042,5.68,60,464.8
20,North Texas ,13,966,5987,6.2,53,460.5
21,Boise St. ,13,979,5974,6.1,55,459.5
22,Baylor ,13,988,5968,6.04,47,459.1
23,Cincinnati ,13,974,5960,6.12,60,458.5
24,Arizona ,12,881,5492,6.23,43,457.7
25,Nebraska ,12,868,5474,6.31,44,456.2
26,NC State ,13,979,5929,6.06,52,456.1
27,Washington St. ,13,958,5869,6.13,63,451.5
28,Wake Forest ,13,1067,5847,5.48,46,449.8
29,Purdue ,13,909,5771,6.35,48,443.9
30,Toledo ,13,927,5770,6.22,62,443.8
31,North Carolina ,11,817,4863,5.95,33,442.1
32,Notre Dame ,13,954,5721,6,50,440.1
33,South Fla. ,13,949,5690,6,43,437.7
34,Massachusetts ,12,821,5251,6.4,49,437.6
35,Western Mich. ,13,962,5679,5.9,52,436.8
36,Wisconsin ,13,875,5604,6.4,51,431.1
37,Appalachian St. ,13,859,5603,6.52,58,431
38,Nevada ,13,929,5600,6.03,49,430.8
39,Virginia Tech ,13,949,5566,5.87,48,428.2
40,Old Dominion ,12,905,5133,5.67,45,427.8
41,Oregon ,13,947,5554,5.86,57,427.2
42,Florida ,13,890,5547,6.23,51,426.7
43,South Carolina ,13,887,5533,6.24,47,425.6
44,Louisiana ,14,901,5940,6.59,58,424.3
45,Penn St. ,13,900,5499,6.11,55,423
46,FIU ,13,859,5480,6.38,54,421.5
47,Fresno St. ,14,941,5901,6.27,57,421.5
48,Hawaii ,14,963,5878,6.1,54,419.9
49,Michigan ,13,896,5453,6.09,50,419.5
50,Arizona St. ,13,899,5417,6.03,46,416.7
51,Indiana ,12,909,4982,5.48,37,415.2
52,Air Force ,12,882,4978,5.64,43,414.8
- ,La.-Monroe ,12,801,4978,6.21,39,414.8
54,Washington ,14,969,5805,5.99,45,414.6
55,Buffalo ,14,1004,5803,5.78,64,414.5
56,East Carolina ,12,995,4973,5,31,414.4
57,Texas ,14,1045,5758,5.51,52,411.3
58,Vanderbilt ,13,850,5346,6.29,46,411.2
59,Colorado St. ,12,893,4926,5.52,34,410.5
60,Temple ,13,937,5324,5.68,48,409.5
61,Georgia Tech ,13,871,5314,6.1,53,408.8
62,Illinois ,12,822,4904,5.97,35,408.7
63,Ball St. ,12,924,4903,5.31,37,408.6
64,UAB ,14,963,5680,5.9,50,405.7
65,Duke ,13,956,5274,5.52,50,405.7
66,Oregon St. ,12,915,4857,5.31,40,404.8
67,Boston College ,12,895,4852,5.42,48,404.3
68,LSU ,13,950,5227,5.5,46,402.1
69,Tulane ,13,904,5214,5.77,44,401.1
70,Mississippi St. ,13,837,5166,6.17,48,397.4
71,Utah ,14,971,5541,5.71,42,395.8
72,Marshall ,13,908,5117,5.64,42,393.6
73,Middle Tenn. ,14,992,5507,5.55,44,393.4
74,UCLA ,12,854,4711,5.52,33,392.6
- ,Colorado ,12,872,4711,5.4,40,392.6
76,Army West Point ,13,922,5103,5.53,54,392.5
77,UNLV ,12,892,4694,5.26,47,391.2
78,Auburn ,13,894,5069,5.67,46,389.9
79,Troy ,13,857,5062,5.91,46,389.4
80,SMU ,12,869,4646,5.35,45,387.2
81,Virginia ,13,857,5003,5.84,45,384.8
82,Kent St. ,12,914,4603,5.04,34,383.6
83,Southern California ,12,794,4591,5.78,35,382.6
84,Louisiana Tech ,13,915,4967,5.43,38,382.1
85,Stanford ,13,808,4953,6.13,45,381
86,Minnesota ,13,870,4935,5.67,43,379.6
87,Coastal Caro. ,12,780,4552,5.84,40,379.3
88,UConn ,12,851,4541,5.34,36,378.4
89,Georgia St. ,12,815,4538,5.57,36,378.2
90,Tulsa ,12,899,4531,5.04,36,377.6
91,Iowa ,13,896,4875,5.44,46,375
92,Eastern Mich. ,13,880,4837,5.5,44,372.1
93,Miami (OH) ,12,818,4464,5.46,42,372
94,Maryland ,12,728,4457,6.12,38,371.4
95,Iowa St. ,13,829,4823,5.82,40,371
96,New Mexico St. ,12,891,4446,4.99,30,370.5
97,Pittsburgh ,14,887,5176,5.84,42,369.7
98,TCU ,13,904,4785,5.29,32,368.1
99,Southern Miss. ,11,788,4044,5.13,30,367.6
100,BYU ,13,856,4744,5.54,45,364.9
101,Western Ky. ,12,870,4364,5.02,30,363.7
102,Florida St. ,12,847,4334,5.12,31,361.2
103,Kentucky ,13,832,4691,5.64,41,360.8
104,Miami (FL) ,13,835,4664,5.59,44,358.8
105,South Alabama ,12,810,4263,5.26,36,355.3
- ,Bowling Green ,12,822,4263,5.19,38,355.3
107,Northwestern ,14,1046,4961,4.74,42,354.4
108,Louisville ,12,797,4231,5.31,28,352.6
109,Kansas ,12,815,4210,5.17,32,350.8
110,Navy ,13,861,4536,5.27,42,348.9
111,San Diego St. ,13,831,4535,5.46,30,348.8
112,Ga. Southern ,13,760,4488,5.91,45,345.2
113,Kansas St. ,12,797,4136,5.19,31,344.7
114,California ,13,910,4466,4.91,29,343.5
115,Charlotte ,12,830,4117,4.96,28,343.1
116,Michigan St. ,13,962,4447,4.62,26,342.1
117,Arkansas ,12,810,4028,4.97,28,335.7
118,Wyoming ,12,771,3969,5.15,27,330.8
119,New Mexico ,12,793,3965,5,38,330.4
120,Texas St. ,12,778,3963,5.09,30,330.3
121,Tennessee ,12,716,3906,5.46,30,325.5
122,San Jose St. ,12,805,3884,4.82,29,323.7
123,Northern Ill. ,14,998,4512,4.52,32,322.3
124,Rice ,13,858,4139,4.82,28,318.4
125,UTEP ,12,751,3692,4.92,27,307.7
126,Akron ,12,764,3533,4.62,21,294.4
127,Rutgers ,12,772,3195,4.14,17,266.3
128,Central Mich. ,12,809,3056,3.78,18,254.7
129,UTSA ,12,758,2965,3.91,16,247.1
